#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT IMPACT DETECTOR - ENERGY SPECTRUM]
# detector number:  1
# Units are 1/(eV*history)
#
# Linear scale
# Energy     min    ,    max    , number of bins
#        0.00000e+00 6.10000e+06    120
#
#             |      Total spectrum     |            electron     |               gamma     |            positron     |
#             |                         |                         |                         |                         |
# Energy (eV) |     prob    : +-2sigma  |     prob    : +-2sigma  |     prob    : +-2sigma  |     prob    : +-2sigma  |
  3.38042E+06   3.70760E-09   8.949E-11   2.70278E-11   4.300E-12   3.67783E-09   8.937E-11   2.73699E-12   1.368E-12 
  3.43125E+06   3.63438E-09   8.897E-11   2.44619E-11   4.091E-12   3.60599E-09   8.886E-11   3.93443E-12   1.641E-12 
  3.48208E+06   3.47889E-09   8.718E-11   2.32644E-11   3.990E-12   3.45460E-09   8.708E-11   1.02637E-12   8.380E-13 
  3.53292E+06   3.44553E-09   8.693E-11   2.37776E-11   4.033E-12   3.42021E-09   8.683E-11   1.53956E-12   1.026E-12 
  3.58375E+06   3.21511E-09   8.382E-11   2.06985E-11   3.763E-12   3.19185E-09   8.372E-11   2.56593E-12   1.325E-12 
  3.63458E+06   3.14104E-09   8.273E-11   2.24091E-11   3.916E-12   3.11675E-09   8.263E-11   1.88168E-12   1.135E-12 
  3.68542E+06   3.03618E-09   8.147E-11   2.10406E-11   3.825E-12   3.01377E-09   8.137E-11   1.36850E-12   9.677E-13 
  3.73625E+06   3.04644E-09   8.228E-11   1.81326E-11   3.522E-12   3.02643E-09   8.218E-11   1.88168E-12   1.135E-12 
  3.78708E+06   2.85263E-09   7.936E-11   1.62509E-11   3.335E-12   2.83569E-09   7.929E-11   6.84248E-13   6.842E-13 
  3.83792E+06   2.82954E-09   7.919E-11   1.53956E-11   3.246E-12   2.81311E-09   7.912E-11   1.02637E-12   8.380E-13 
  3.88875E+06   2.72057E-09   7.772E-11   1.45403E-11   3.154E-12   2.70535E-09   7.765E-11   6.84248E-13   6.842E-13 
  3.93958E+06   2.61947E-09   7.628E-11   1.43692E-11   3.136E-12   2.60425E-09   7.621E-11   8.55310E-13   7.650E-13 
  3.99042E+06   2.49220E-09   7.465E-11   1.31718E-11   3.002E-12   2.47869E-09   7.459E-11   3.42124E-13   4.838E-13 
  4.04125E+06   2.45012E-09   7.405E-11   1.33428E-11   3.022E-12   2.43627E-09   7.398E-11   5.13186E-13   5.926E-13 
  4.09208E+06   2.41334E-09   7.432E-11   1.04348E-11   2.672E-12   2.40239E-09   7.427E-11   5.13186E-13   5.926E-13 
  4.14292E+06   2.26366E-09   7.137E-11   8.55310E-12   2.419E-12   2.25443E-09   7.133E-11   6.84248E-13   6.842E-13 
  4.19375E+06   2.13092E-09   6.884E-11   1.04348E-11   2.672E-12   2.12048E-09   6.879E-11   0.00000E+00   0.000E+00 
  4.24458E+06   2.10030E-09   6.869E-11   8.55310E-12   2.419E-12   2.09158E-09   6.865E-11   1.71062E-13   3.421E-13 
  4.29542E+06   2.09140E-09   6.866E-11   6.32929E-12   2.081E-12   2.08507E-09   6.863E-11   0.00000E+00   0.000E+00 
  4.34625E+06   2.04145E-09   6.831E-11   8.21098E-12   2.370E-12   2.03324E-09   6.827E-11   0.00000E+00   0.000E+00 
  4.39708E+06   1.93180E-09   6.611E-11   7.18460E-12   2.217E-12   1.92445E-09   6.607E-11   1.71062E-13   3.421E-13 
  4.44792E+06   1.89913E-09   6.574E-11   7.18460E-12   2.217E-12   1.89177E-09   6.570E-11   1.71062E-13   3.421E-13 
  4.49875E+06   1.80522E-09   6.405E-11   3.25018E-12   1.491E-12   1.80197E-09   6.403E-11   0.00000E+00   0.000E+00 
  4.54958E+06   1.74808E-09   6.327E-11   5.98717E-12   2.024E-12   1.74210E-09   6.324E-11   0.00000E+00   0.000E+00 
  4.60042E+06   1.67812E-09   6.186E-11   4.96080E-12   1.842E-12   1.67316E-09   6.183E-11   0.00000E+00   0.000E+00 
  4.65125E+06   1.56641E-09   5.986E-11   2.73699E-12   1.368E-12   1.56368E-09   5.984E-11   0.00000E+00   0.000E+00 
