#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING UPBOUND PARTICLES DISTRIBUTION]
# Units are particles/(eV history)
# Energy window (eV), energy bins:
#  0.00000E+00  1.45000E+06   280
#
# Energy (eV) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   4.32411E+05  1.87503E-09  1.203E-10  8.01206E-08  7.865E-10  0.00000E+00  0.000E+00
   4.37589E+05  1.69545E-09  1.144E-10  7.44452E-08  7.582E-10  0.00000E+00  0.000E+00
   4.42768E+05  1.70703E-09  1.148E-10  6.91214E-08  7.306E-10  0.00000E+00  0.000E+00
   4.47946E+05  1.73021E-09  1.156E-10  6.39732E-08  7.029E-10  0.00000E+00  0.000E+00
   4.53125E+05  1.73214E-09  1.157E-10  5.94488E-08  6.776E-10  0.00000E+00  0.000E+00
   4.58304E+05  1.63945E-09  1.125E-10  5.46019E-08  6.493E-10  0.00000E+00  0.000E+00
   4.63482E+05  1.75917E-09  1.166E-10  4.97840E-08  6.200E-10  0.00000E+00  0.000E+00
   4.68661E+05  1.68386E-09  1.140E-10  4.57848E-08  5.946E-10  0.00000E+00  0.000E+00
   4.73839E+05  1.65297E-09  1.130E-10  4.07120E-08  5.607E-10  0.00000E+00  0.000E+00
   4.79018E+05  1.59310E-09  1.109E-10  3.65970E-08  5.317E-10  0.00000E+00  0.000E+00
   4.84196E+05  1.58152E-09  1.105E-10  3.26113E-08  5.018E-10  0.00000E+00  0.000E+00
   4.89375E+05  1.56221E-09  1.098E-10  2.91470E-08  4.745E-10  0.00000E+00  0.000E+00
   4.94554E+05  1.64524E-09  1.127E-10  2.54491E-08  4.433E-10  0.00000E+00  0.000E+00
   4.99732E+05  1.48303E-09  1.070E-10  2.24386E-08  4.163E-10  0.00000E+00  0.000E+00
   5.04911E+05  1.47917E-09  1.069E-10  1.95691E-08  3.888E-10  0.00000E+00  0.000E+00
   5.10089E+05  1.54676E-09  1.093E-10  2.45015E-07  1.376E-09  0.00000E+00  0.000E+00
   5.15268E+05  1.47917E-09  1.069E-10  1.30229E-08  3.171E-10  0.00000E+00  0.000E+00
   5.20446E+05  1.56414E-09  1.099E-10  1.10301E-08  2.919E-10  0.00000E+00  0.000E+00
   5.25625E+05  1.54676E-09  1.093E-10  9.54897E-09  2.716E-10  0.00000E+00  0.000E+00
   5.30804E+05  1.44828E-09  1.058E-10  8.28414E-09  2.530E-10  0.00000E+00  0.000E+00
   5.35982E+05  1.54097E-09  1.091E-10  7.29545E-09  2.374E-10  0.00000E+00  0.000E+00
   5.41161E+05  1.53131E-09  1.088E-10  6.49214E-09  2.239E-10  0.00000E+00  0.000E+00
   5.46339E+05  1.36331E-09  1.026E-10  5.74483E-09  2.106E-10  0.00000E+00  0.000E+00
   5.51518E+05  1.43283E-09  1.052E-10  5.18483E-09  2.001E-10  0.00000E+00  0.000E+00
   5.56696E+05  1.41738E-09  1.046E-10  4.64993E-09  1.895E-10  0.00000E+00  0.000E+00
   5.61875E+05  1.45214E-09  1.059E-10  4.13048E-09  1.786E-10  0.00000E+00  0.000E+00
   5.67054E+05  1.28800E-09  9.974E-11  3.70952E-09  1.693E-10  0.00000E+00  0.000E+00
   5.72232E+05  1.36717E-09  1.028E-10  3.29821E-09  1.596E-10  0.00000E+00  0.000E+00
   5.77411E+05  1.28028E-09  9.944E-11  2.98924E-09  1.520E-10  0.00000E+00  0.000E+00
   5.82589E+05  1.37490E-09  1.031E-10  2.59917E-09  1.417E-10  0.00000E+00  0.000E+00
   5.87768E+05  1.33628E-09  1.016E-10  2.47945E-09  1.384E-10  0.00000E+00  0.000E+00
   5.92946E+05  1.31697E-09  1.009E-10  2.16083E-09  1.292E-10  0.00000E+00  0.000E+00
   5.98125E+05  1.31117E-09  1.006E-10  2.05655E-09  1.260E-10  0.00000E+00  0.000E+00
   6.03304E+05  1.29959E-09  1.002E-10  1.81710E-09  1.185E-10  0.00000E+00  0.000E+00
   6.08482E+05  1.31310E-09  1.007E-10  1.67421E-09  1.137E-10  0.00000E+00  0.000E+00
   6.13661E+05  1.21076E-09  9.671E-11  1.51393E-09  1.081E-10  0.00000E+00  0.000E+00
   6.18839E+05  1.26290E-09  9.877E-11  1.35945E-09  1.025E-10  0.00000E+00  0.000E+00
   6.24018E+05  1.20883E-09  9.663E-11  1.35559E-09  1.023E-10  0.00000E+00  0.000E+00
   6.29196E+05  1.21655E-09  9.694E-11  1.19917E-09  9.624E-11  0.00000E+00  0.000E+00
   6.34375E+05  1.22814E-09  9.740E-11  1.16634E-09  9.492E-11  0.00000E+00  0.000E+00
   6.39554E+05  1.17407E-09  9.523E-11  1.03310E-09  8.933E-11  0.00000E+00  0.000E+00
   6.44732E+05  1.08138E-09  9.139E-11  1.07752E-09  9.123E-11  0.00000E+00  0.000E+00
   6.49911E+05  1.08524E-09  9.156E-11  1.03503E-09  8.941E-11  0.00000E+00  0.000E+00
   6.55089E+05  1.07945E-09  9.131E-11  8.76690E-10  8.229E-11  0.00000E+00  0.000E+00
   6.60268E+05  1.02345E-09  8.891E-11  8.80552E-10  8.247E-11  0.00000E+00  0.000E+00
   6.65446E+05  9.90621E-10  8.747E-11  8.20690E-10  7.962E-11  0.00000E+00  0.000E+00
   6.70625E+05  9.94483E-10  8.764E-11  7.41517E-10  7.568E-11  0.00000E+00  0.000E+00
   6.75804E+05  1.03503E-09  8.941E-11  7.80138E-10  7.763E-11  0.00000E+00  0.000E+00
   6.80982E+05  1.00221E-09  8.798E-11  7.53103E-10  7.627E-11  0.00000E+00  0.000E+00
   6.86161E+05  9.09517E-10  8.382E-11  6.33379E-10  6.994E-11  0.00000E+00  0.000E+00
   6.91339E+05  9.96414E-10  8.773E-11  6.64276E-10  7.163E-11  0.00000E+00  0.000E+00
   6.96518E+05  9.23034E-10  8.444E-11  6.12138E-10  6.876E-11  0.00000E+00  0.000E+00
   7.01696E+05  8.92138E-10  8.301E-11  5.36828E-10  6.439E-11  0.00000E+00  0.000E+00
   7.06875E+05  8.61241E-10  8.156E-11  5.23310E-10  6.358E-11  0.00000E+00  0.000E+00
   7.12054E+05  8.94069E-10  8.310E-11  5.38759E-10  6.451E-11  0.00000E+00  0.000E+00
   7.17232E+05  8.61241E-10  8.156E-11  4.69241E-10  6.020E-11  0.00000E+00  0.000E+00
   7.22411E+05  8.67034E-10  8.184E-11  4.42207E-10  5.844E-11  0.00000E+00  0.000E+00
   7.27589E+05  8.84414E-10  8.265E-11  4.94345E-10  6.179E-11  0.00000E+00  0.000E+00
   7.32768E+05  7.80138E-10  7.763E-11  4.32552E-10  5.780E-11  0.00000E+00  0.000E+00
   7.37946E+05  7.74345E-10  7.734E-11  3.74621E-10  5.379E-11  0.00000E+00  0.000E+00
   7.43125E+05  7.35724E-10  7.538E-11  3.80414E-10  5.421E-11  0.00000E+00  0.000E+00
   7.48304E+05  7.02897E-10  7.368E-11  3.86207E-10  5.462E-11  0.00000E+00  0.000E+00
   7.53482E+05  7.22207E-10  7.469E-11  3.39862E-10  5.124E-11  0.00000E+00  0.000E+00
   7.58661E+05  6.64276E-10  7.163E-11  2.95448E-10  4.777E-11  0.00000E+00  0.000E+00
