#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT IMPACT DETECTOR - DEPOSITED ENERGY SPECTRUM]
# detector number:  1
# Mean energy deposited: 5.22143e+05  +- 1.044e+02
# Units are 1/(eV*particle)
#
# Linear scale
# Energy     min    ,    max    , number of bins
#       0.00000e+00  1.45000e+06      280
#
# deposited E (eV) :     prob     : +-2sigma
  1.01241E+06   2.88672E-07   1.492E-09 
  1.01759E+06   2.86075E-07   1.485E-09 
  1.02277E+06   2.84032E-07   1.480E-09 
  1.02795E+06   2.81800E-07   1.474E-09 
  1.03312E+06   2.80008E-07   1.470E-09 
  1.03830E+06   2.80751E-07   1.472E-09 
  1.04348E+06   2.79654E-07   1.469E-09 
  1.04866E+06   2.79703E-07   1.469E-09 
  1.05384E+06   2.77080E-07   1.462E-09 
  1.05902E+06   2.78521E-07   1.466E-09 
  1.06420E+06   2.78550E-07   1.466E-09 
  1.06938E+06   2.78316E-07   1.465E-09 
  1.07455E+06   2.76910E-07   1.461E-09 
  1.07973E+06   2.77156E-07   1.462E-09 
  1.08491E+06   2.77383E-07   1.463E-09 
  1.09009E+06   2.76731E-07   1.461E-09 
  1.09527E+06   2.74948E-07   1.456E-09 
  1.10045E+06   2.72233E-07   1.449E-09 
  1.10562E+06   2.65973E-07   1.432E-09 
  1.11080E+06   2.50034E-07   1.389E-09 
  1.11598E+06   1.92318E-07   1.218E-09 
  1.12116E+06   1.37507E-07   1.030E-09 
  1.12634E+06   1.14246E-07   9.391E-10 
  1.13152E+06   9.98963E-08   8.782E-10 
  1.13670E+06   1.03183E-07   8.925E-10 
  1.14188E+06   1.22630E-07   9.729E-10 
  1.14705E+06   6.87062E-08   7.284E-10 
  1.15223E+06   6.10033E-08   6.863E-10 
  1.15741E+06   5.27810E-08   6.384E-10 
  1.16259E+06   4.64491E-08   5.989E-10 
  1.16777E+06   2.34952E-05   1.263E-08 
  1.17295E+06   3.25012E-08   5.010E-10 
  1.17812E+06   2.80290E-08   4.653E-10 
  1.18330E+06   2.33308E-08   4.245E-10 
  1.18848E+06   1.92466E-08   3.855E-10 
  1.19366E+06   1.66590E-08   3.587E-10 
  1.19884E+06   1.42452E-08   3.317E-10 
  1.20402E+06   1.18971E-08   3.031E-10 
  1.20920E+06   1.03677E-08   2.830E-10 
  1.21438E+06   8.98897E-09   2.635E-10 
  1.21955E+06   7.96166E-09   2.480E-10 
  1.22473E+06   7.00193E-09   2.326E-10 
  1.22991E+06   5.98041E-09   2.149E-10 
  1.23509E+06   5.59421E-09   2.079E-10 
  1.24027E+06   5.22924E-09   2.010E-10 
  1.24545E+06   4.65379E-09   1.896E-10 
  1.25062E+06   4.22510E-09   1.807E-10 
  1.25580E+06   4.25214E-09   1.812E-10 
  1.26098E+06   3.78869E-09   1.711E-10 
  1.26616E+06   3.42759E-09   1.627E-10 
  1.27134E+06   3.41214E-09   1.623E-10 
  1.27652E+06   2.95062E-09   1.510E-10 
  1.28170E+06   2.29600E-09   1.332E-10 
  1.28688E+06   2.18400E-09   1.299E-10 
  1.29205E+06   1.90593E-09   1.213E-10 
  1.29723E+06   1.56201E-08   3.473E-10 
  1.30241E+06   4.16466E-08   5.671E-10 
  1.30759E+06   1.45600E-09   1.060E-10 
  1.31277E+06   9.55862E-10   8.593E-11 
  1.31795E+06   7.08690E-10   7.399E-11 
  1.32312E+06   4.09379E-10   5.623E-11 
  1.32830E+06   2.07267E-05   1.195E-08 
  1.33348E+06   0.00000E+00   0.000E+00 
  1.33866E+06   0.00000E+00   0.000E+00 
  1.34384E+06   0.00000E+00   0.000E+00 
  1.34902E+06   0.00000E+00   0.000E+00 
  1.35420E+06   0.00000E+00   0.000E+00 
  1.35938E+06   0.00000E+00   0.000E+00 
  1.36455E+06   0.00000E+00   0.000E+00 
  1.36973E+06   0.00000E+00   0.000E+00 
  1.37491E+06   0.00000E+00   0.000E+00 
  1.38009E+06   0.00000E+00   0.000E+00 
  1.38527E+06   0.00000E+00   0.000E+00 
  1.39045E+06   0.00000E+00   0.000E+00 
  1.39562E+06   0.00000E+00   0.000E+00 
  1.40080E+06   0.00000E+00   0.000E+00 
  1.40598E+06   0.00000E+00   0.000E+00 
  1.41116E+06   0.00000E+00   0.000E+00 
  1.41634E+06   0.00000E+00   0.000E+00 
  1.42152E+06   0.00000E+00   0.000E+00 
  1.42670E+06   0.00000E+00   0.000E+00 
  1.43188E+06   0.00000E+00   0.000E+00 
  1.43705E+06   0.00000E+00   0.000E+00 
  1.44223E+06   0.00000E+00   0.000E+00 
  1.44741E+06   0.00000E+00   0.000E+00 
