#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING UPBOUND PARTICLES DISTRIBUTION]
# Units are particles/(eV history)
# Energy window (eV), energy bins:
#  0.00000E+00  1.41000E+06   140
#
# Energy (eV) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   7.60393E+05  7.33799E-09  1.080E-10  2.12219E-07  5.800E-10  0.00000E+00  0.000E+00
   7.70464E+05  7.30304E-09  1.077E-10  2.12544E-07  5.805E-10  0.00000E+00  0.000E+00
   7.80536E+05  7.09333E-09  1.062E-10  2.12765E-07  5.808E-10  0.00000E+00  0.000E+00
   7.90607E+05  6.99166E-09  1.054E-10  2.12526E-07  5.804E-10  0.00000E+00  0.000E+00
   8.00679E+05  6.86060E-09  1.044E-10  2.12710E-07  5.807E-10  0.00000E+00  0.000E+00
   8.10750E+05  6.63977E-09  1.027E-10  2.13094E-07  5.812E-10  0.00000E+00  0.000E+00
   8.20821E+05  6.54763E-09  1.020E-10  2.13493E-07  5.818E-10  0.00000E+00  0.000E+00
   8.30893E+05  6.30417E-09  1.001E-10  2.13560E-07  5.818E-10  0.00000E+00  0.000E+00
   8.40964E+05  6.28948E-09  9.996E-11  2.13943E-07  5.824E-10  0.00000E+00  0.000E+00
   8.51036E+05  6.04879E-09  9.802E-11  2.14061E-07  5.825E-10  0.00000E+00  0.000E+00
   8.61107E+05  5.88437E-09  9.668E-11  2.14988E-07  5.838E-10  0.00000E+00  0.000E+00
   8.71179E+05  5.62105E-09  9.450E-11  2.14778E-07  5.835E-10  0.00000E+00  0.000E+00
   8.81250E+05  5.48562E-09  9.335E-11  2.14942E-07  5.837E-10  0.00000E+00  0.000E+00
   8.91321E+05  5.08091E-09  8.984E-11  2.15837E-07  5.849E-10  0.00000E+00  0.000E+00
   9.01393E+05  4.88233E-09  8.807E-11  2.15936E-07  5.851E-10  0.00000E+00  0.000E+00
   9.11464E+05  4.68414E-09  8.626E-11  2.16579E-07  5.859E-10  0.00000E+00  0.000E+00
   9.21536E+05  4.33702E-09  8.300E-11  2.16753E-07  5.862E-10  0.00000E+00  0.000E+00
   9.31607E+05  3.95892E-09  7.930E-11  2.17362E-07  5.870E-10  0.00000E+00  0.000E+00
   9.41679E+05  3.61736E-09  7.581E-11  2.17881E-07  5.877E-10  0.00000E+00  0.000E+00
   9.51750E+05  3.18525E-09  7.113E-11  2.17791E-07  5.876E-10  0.00000E+00  0.000E+00
   9.61821E+05  2.84051E-09  6.717E-11  2.18209E-07  5.881E-10  0.00000E+00  0.000E+00
   9.71893E+05  2.63915E-09  6.475E-11  2.19366E-07  5.897E-10  0.00000E+00  0.000E+00
   9.81964E+05  2.54820E-09  6.362E-11  2.19112E-07  5.893E-10  0.00000E+00  0.000E+00
   9.92036E+05  2.44057E-09  6.227E-11  2.20171E-07  5.908E-10  0.00000E+00  0.000E+00
   1.00211E+06  2.31745E-09  6.068E-11  2.20349E-07  5.910E-10  0.00000E+00  0.000E+00
   1.01218E+06  2.18082E-09  5.886E-11  2.21690E-07  5.928E-10  0.00000E+00  0.000E+00
   1.02225E+06  2.08113E-09  5.750E-11  2.21831E-07  5.930E-10  0.00000E+00  0.000E+00
   1.03232E+06  1.91671E-09  5.518E-11  2.22400E-07  5.937E-10  0.00000E+00  0.000E+00
   1.04239E+06  1.73600E-09  5.252E-11  2.22791E-07  5.943E-10  0.00000E+00  0.000E+00
   1.05246E+06  1.54496E-09  4.954E-11  2.23631E-07  5.954E-10  0.00000E+00  0.000E+00
   1.06254E+06  1.34638E-09  4.625E-11  2.24075E-07  5.960E-10  0.00000E+00  0.000E+00
   1.07261E+06  1.16250E-09  4.297E-11  2.24557E-07  5.966E-10  0.00000E+00  0.000E+00
   1.08268E+06  9.18638E-10  3.820E-11  2.25126E-07  5.974E-10  0.00000E+00  0.000E+00
   1.09275E+06  7.28794E-10  3.403E-11  2.26012E-07  5.985E-10  0.00000E+00  0.000E+00
   1.10282E+06  4.06695E-10  2.542E-11  2.26540E-07  5.992E-10  0.00000E+00  0.000E+00
   1.11289E+06  1.20738E-10  1.385E-11  2.26925E-07  5.997E-10  0.00000E+00  0.000E+00
   1.12296E+06  3.17730E-12  2.247E-12  2.27951E-07  6.011E-10  0.00000E+00  0.000E+00
   1.13304E+06  3.97163E-13  7.943E-13  2.29054E-07  6.025E-10  0.00000E+00  0.000E+00
   1.14311E+06  1.19149E-12  1.376E-12  2.29045E-07  6.025E-10  0.00000E+00  0.000E+00
   1.15318E+06  7.94326E-13  1.123E-12  2.29841E-07  6.036E-10  0.00000E+00  0.000E+00
   1.16325E+06  1.19149E-12  1.376E-12  2.30749E-07  6.048E-10  0.00000E+00  0.000E+00
   1.17332E+06  7.94326E-13  1.123E-12  3.28471E-05  5.909E-09  0.00000E+00  0.000E+00
   1.18339E+06  0.00000E+00  0.000E+00  1.00309E-07  3.990E-10  0.00000E+00  0.000E+00
   1.19346E+06  3.97163E-13  7.943E-13  1.00492E-07  3.994E-10  0.00000E+00  0.000E+00
   1.20354E+06  7.94326E-13  1.123E-12  1.00765E-07  3.999E-10  0.00000E+00  0.000E+00
   1.21361E+06  3.97163E-13  7.943E-13  1.00928E-07  4.002E-10  0.00000E+00  0.000E+00
   1.22368E+06  3.97163E-13  7.943E-13  1.01325E-07  4.010E-10  0.00000E+00  0.000E+00
   1.23375E+06  0.00000E+00  0.000E+00  1.01287E-07  4.009E-10  0.00000E+00  0.000E+00
   1.24382E+06  0.00000E+00  0.000E+00  1.01935E-07  4.022E-10  0.00000E+00  0.000E+00
   1.25389E+06  0.00000E+00  0.000E+00  1.02121E-07  4.026E-10  0.00000E+00  0.000E+00
   1.26396E+06  7.94326E-13  1.123E-12  1.01935E-07  4.022E-10  0.00000E+00  0.000E+00
   1.27404E+06  0.00000E+00  0.000E+00  1.02438E-07  4.032E-10  0.00000E+00  0.000E+00
   1.28411E+06  0.00000E+00  0.000E+00  1.02768E-07  4.038E-10  0.00000E+00  0.000E+00
   1.29418E+06  3.97163E-13  7.943E-13  1.03260E-07  4.048E-10  0.00000E+00  0.000E+00
   1.30425E+06  3.97163E-13  7.943E-13  1.03495E-07  4.053E-10  0.00000E+00  0.000E+00
   1.31432E+06  3.97163E-13  7.943E-13  1.03739E-07  4.058E-10  0.00000E+00  0.000E+00
   1.32439E+06  0.00000E+00  0.000E+00  1.03301E-07  4.049E-10  0.00000E+00  0.000E+00
   1.33446E+06  0.00000E+00  0.000E+00  3.35986E-05  5.943E-09  0.00000E+00  0.000E+00
   1.34454E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   1.35461E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   1.36468E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   1.37475E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   1.38482E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   1.39489E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   1.40496E+06  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
