#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING ANGULAR PARTICLES DISTRIBUTION]
# Units are particles/(sr history)
# Polar angle minimum, maximum, polar bins:
#  0.00000E+00  1.80000E+02    45
# Azimuthal angle minimum, maximum, azimuthal bins:
#  0.00000E+00  3.60000E+02    18
#
# theta (deg) :  phi (deg) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   2.60000E+01  2.10000E+02  2.71331E-03  6.375E-05  8.31577E-02  3.528E-04  0.00000E+00  0.000E+00
   2.60000E+01  2.30000E+02  2.74927E-03  6.417E-05  8.28783E-02  3.522E-04  0.00000E+00  0.000E+00
   2.60000E+01  2.50000E+02  2.72717E-03  6.392E-05  8.32457E-02  3.530E-04  0.00000E+00  0.000E+00
   2.60000E+01  2.70000E+02  2.81293E-03  6.492E-05  8.29847E-02  3.524E-04  0.00000E+00  0.000E+00
   2.60000E+01  2.90000E+02  2.77398E-03  6.446E-05  8.32686E-02  3.530E-04  0.00000E+00  0.000E+00
   2.60000E+01  3.10000E+02  2.76986E-03  6.441E-05  8.30087E-02  3.525E-04  0.00000E+00  0.000E+00
   2.60000E+01  3.30000E+02  2.72754E-03  6.392E-05  8.32461E-02  3.530E-04  0.00000E+00  0.000E+00
   2.60000E+01  3.50000E+02  2.72342E-03  6.387E-05  8.31240E-02  3.527E-04  0.00000E+00  0.000E+00

   3.00000E+01  1.00000E+01  2.35589E-03  5.562E-05  7.37064E-02  3.110E-04  0.00000E+00  0.000E+00
   3.00000E+01  3.00000E+01  2.37428E-03  5.584E-05  7.38673E-02  3.113E-04  0.00000E+00  0.000E+00
   3.00000E+01  5.00000E+01  2.33619E-03  5.539E-05  7.38690E-02  3.113E-04  0.00000E+00  0.000E+00
   3.00000E+01  7.00000E+01  2.34243E-03  5.547E-05  7.38617E-02  3.113E-04  0.00000E+00  0.000E+00
   3.00000E+01  9.00000E+01  2.38446E-03  5.596E-05  7.38112E-02  3.112E-04  0.00000E+00  0.000E+00
   3.00000E+01  1.10000E+02  2.37231E-03  5.582E-05  7.38030E-02  3.112E-04  3.28347E-07  6.567E-07
   3.00000E+01  1.30000E+02  2.37461E-03  5.585E-05  7.39179E-02  3.114E-04  0.00000E+00  0.000E+00
   3.00000E+01  1.50000E+02  2.32864E-03  5.530E-05  7.38824E-02  3.114E-04  0.00000E+00  0.000E+00
   3.00000E+01  1.70000E+02  2.37855E-03  5.589E-05  7.40193E-02  3.117E-04  0.00000E+00  0.000E+00
   3.00000E+01  1.90000E+02  2.36738E-03  5.576E-05  7.35649E-02  3.107E-04  0.00000E+00  0.000E+00
