#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT IMPACT DETECTOR - ENERGY SPECTRUM]
# detector number:  1
# Units are 1/(eV*history)
#
# Linear scale
# Energy     min    ,    max    , number of bins
#        0.00000e+00 1.65000e+05    160
#
#             |      Total spectrum     |            electron     |               gamma     |            positron     |
#             |                         |                         |                         |                         |
# Energy (eV) |     prob    : +-2sigma  |     prob    : +-2sigma  |     prob    : +-2sigma  |     prob    : +-2sigma  |
  9.02344E+04   6.53490E-07   3.542E-08   6.47304E-07   3.542E-08   6.18606E-09   1.140E-10   0.00000E+00   0.000E+00 
  9.12656E+04   6.77191E-07   3.606E-08   6.71064E-07   3.606E-08   6.12697E-09   1.142E-10   0.00000E+00   0.000E+00 
  9.22969E+04   7.10993E-07   3.696E-08   7.05006E-07   3.696E-08   5.98667E-09   1.132E-10   0.00000E+00   0.000E+00 
  9.33281E+04   7.27288E-07   3.739E-08   7.21488E-07   3.739E-08   5.80091E-09   1.108E-10   0.00000E+00   0.000E+00 
  9.43594E+04   7.31510E-07   3.750E-08   7.25841E-07   3.750E-08   5.66848E-09   1.104E-10   0.00000E+00   0.000E+00 
  9.53906E+04   8.00725E-07   3.925E-08   7.95178E-07   3.925E-08   5.54606E-09   1.088E-10   0.00000E+00   0.000E+00 
  9.64219E+04   7.36616E-07   3.764E-08   7.31179E-07   3.764E-08   5.43758E-09   1.077E-10   0.00000E+00   0.000E+00 
  9.74531E+04   8.14465E-07   3.960E-08   8.09238E-07   3.960E-08   5.22788E-09   1.059E-10   0.00000E+00   0.000E+00 
  9.84844E+04   8.27449E-07   3.992E-08   8.22326E-07   3.992E-08   5.12303E-09   1.049E-10   0.00000E+00   0.000E+00 
  9.95156E+04   8.74867E-07   4.105E-08   8.69842E-07   4.105E-08   5.02485E-09   1.040E-10   0.00000E+00   0.000E+00 
  1.00547E+05   8.87731E-07   4.136E-08   8.82933E-07   4.136E-08   4.79788E-09   1.015E-10   0.00000E+00   0.000E+00 
  1.01578E+05   9.54464E-07   4.290E-08   9.49839E-07   4.290E-08   4.62455E-09   9.952E-11   0.00000E+00   0.000E+00 
  1.02609E+05   9.54841E-07   4.291E-08   9.50326E-07   4.291E-08   4.51515E-09   9.818E-11   0.00000E+00   0.000E+00 
  1.03641E+05   9.84317E-07   4.357E-08   9.79906E-07   4.357E-08   4.41091E-09   9.768E-11   0.00000E+00   0.000E+00 
  1.04672E+05   1.02051E-06   4.437E-08   1.01626E-06   4.437E-08   4.24667E-09   9.532E-11   0.00000E+00   0.000E+00 
  1.05703E+05   1.05829E-06   4.519E-08   1.05407E-06   4.519E-08   4.21121E-09   9.478E-11   0.00000E+00   0.000E+00 
  1.06734E+05   1.05570E-06   4.514E-08   1.05165E-06   4.514E-08   4.05000E-09   9.278E-11   0.00000E+00   0.000E+00 
  1.07766E+05   1.12058E-06   4.651E-08   1.11662E-06   4.651E-08   3.95636E-09   9.171E-11   0.00000E+00   0.000E+00 
  1.08797E+05   1.18594E-06   4.785E-08   1.18207E-06   4.785E-08   3.86485E-09   9.150E-11   0.00000E+00   0.000E+00 
  1.09828E+05   1.19062E-06   4.795E-08   1.18692E-06   4.795E-08   3.69667E-09   8.844E-11   0.00000E+00   0.000E+00 
  1.10859E+05   1.24494E-06   4.903E-08   1.24122E-06   4.903E-08   3.71273E-09   8.932E-11   0.00000E+00   0.000E+00 
  1.11891E+05   1.28736E-06   4.987E-08   1.28389E-06   4.987E-08   3.46909E-09   8.584E-11   0.00000E+00   0.000E+00 
  1.12922E+05   1.36919E-06   5.143E-08   1.36583E-06   5.143E-08   3.36152E-09   8.433E-11   0.00000E+00   0.000E+00 
  1.13953E+05   1.35456E-06   5.116E-08   1.35128E-06   5.116E-08   3.27939E-09   8.368E-11   0.00000E+00   0.000E+00 
  1.14984E+05   1.38349E-06   5.170E-08   1.38037E-06   5.170E-08   3.11970E-09   8.145E-11   0.00000E+00   0.000E+00 
  1.16016E+05   1.47892E-06   5.346E-08   1.47589E-06   5.346E-08   3.03182E-09   8.037E-11   0.00000E+00   0.000E+00 
  1.17047E+05   1.52494E-06   5.429E-08   1.52195E-06   5.429E-08   2.99697E-09   8.034E-11   0.00000E+00   0.000E+00 
  1.18078E+05   1.61058E-06   5.579E-08   1.60777E-06   5.579E-08   2.81424E-09   7.663E-11   0.00000E+00   0.000E+00 
  1.19109E+05   1.62065E-06   5.597E-08   1.61794E-06   5.597E-08   2.70939E-09   7.568E-11   0.00000E+00   0.000E+00 
  1.20141E+05   1.74425E-06   5.807E-08   1.74158E-06   5.806E-08   2.66182E-09   7.523E-11   0.00000E+00   0.000E+00 
  1.21172E+05   1.85319E-06   5.985E-08   1.85067E-06   5.985E-08   2.51364E-09   7.274E-11   0.00000E+00   0.000E+00 
  1.22203E+05   1.89771E-06   6.057E-08   1.89528E-06   6.057E-08   2.43727E-09   7.253E-11   0.00000E+00   0.000E+00 
  1.23234E+05   1.97133E-06   6.173E-08   1.96898E-06   6.173E-08   2.35182E-09   7.070E-11   0.00000E+00   0.000E+00 
  1.24266E+05   2.04302E-06   6.284E-08   2.04073E-06   6.284E-08   2.28576E-09   7.005E-11   0.00000E+00   0.000E+00 
  1.25297E+05   2.21507E-06   6.544E-08   2.21285E-06   6.544E-08   2.21394E-09   6.886E-11   0.00000E+00   0.000E+00 
  1.26328E+05   2.23045E-06   6.566E-08   2.22837E-06   6.566E-08   2.08697E-09   6.641E-11   0.00000E+00   0.000E+00 
  1.27359E+05   2.33457E-06   6.718E-08   2.33261E-06   6.718E-08   1.95879E-09   6.401E-11   0.00000E+00   0.000E+00 
  1.28391E+05   2.50180E-06   6.954E-08   2.49988E-06   6.954E-08   1.91818E-09   6.394E-11   0.00000E+00   0.000E+00 
  1.29422E+05   2.71264E-06   7.241E-08   2.71079E-06   7.241E-08   1.85455E-09   6.317E-11   0.00000E+00   0.000E+00 
  1.30453E+05   2.85314E-06   7.425E-08   2.85140E-06   7.425E-08   1.74939E-09   6.046E-11   0.00000E+00   0.000E+00 
  1.31484E+05   2.98158E-06   7.590E-08   2.97988E-06   7.590E-08   1.70030E-09   6.024E-11   0.00000E+00   0.000E+00 
  1.32516E+05   3.22629E-06   7.895E-08   3.22473E-06   7.895E-08   1.56242E-09   5.704E-11   0.00000E+00   0.000E+00 
  1.33547E+05   3.40799E-06   8.114E-08   3.40655E-06   8.114E-08   1.44636E-09   5.572E-11   0.00000E+00   0.000E+00 
  1.34578E+05   3.60963E-06   8.350E-08   3.60824E-06   8.350E-08   1.38667E-09   5.385E-11   0.00000E+00   0.000E+00 
  1.35609E+05   3.87815E-06   8.654E-08   3.87685E-06   8.654E-08   1.30333E-09   5.206E-11   0.00000E+00   0.000E+00 
  1.36641E+05   4.18544E-06   8.989E-08   4.18424E-06   8.989E-08   1.20061E-09   5.004E-11   0.00000E+00   0.000E+00 
  1.37672E+05   4.52626E-06   9.346E-08   4.52509E-06   9.346E-08   1.16727E-09   4.928E-11   0.00000E+00   0.000E+00 
  1.38703E+05   4.89802E-06   9.721E-08   4.89697E-06   9.721E-08   1.05212E-09   4.707E-11   0.00000E+00   0.000E+00 
  1.39734E+05   5.31829E-06   1.013E-07   5.31733E-06   1.013E-07   9.54848E-10   4.514E-11   0.00000E+00   0.000E+00 
  1.40766E+05   5.91507E-06   1.068E-07   5.91418E-06   1.068E-07   8.92727E-10   4.349E-11   0.00000E+00   0.000E+00 
  1.41797E+05   6.38235E-06   1.109E-07   6.38158E-06   1.109E-07   7.76364E-10   4.016E-11   0.00000E+00   0.000E+00 
  1.42828E+05   6.95970E-06   1.158E-07   6.95903E-06   1.158E-07   6.71818E-10   3.685E-11   0.00000E+00   0.000E+00 
  1.43859E+05   7.59141E-06   1.209E-07   7.59079E-06   1.209E-07   6.20303E-10   3.589E-11   0.00000E+00   0.000E+00 
  1.44891E+05   8.32538E-06   1.265E-07   8.32485E-06   1.265E-07   5.28485E-10   3.267E-11   0.00000E+00   0.000E+00 
  1.45922E+05   9.20624E-06   1.330E-07   9.20582E-06   1.330E-07   4.22121E-10   2.914E-11   0.00000E+00   0.000E+00 
  1.46953E+05   9.74531E-06   1.368E-07   9.74497E-06   1.368E-07   3.42121E-10   2.566E-11   0.00000E+00   0.000E+00 
  1.47984E+05   9.99295E-06   1.385E-07   9.99273E-06   1.385E-07   2.21212E-10   2.059E-11   0.00000E+00   0.000E+00 
  1.49016E+05   8.91649E-06   1.309E-07   8.91636E-06   1.309E-07   1.28182E-10   1.572E-11   0.00000E+00   0.000E+00 
  1.50047E+05   4.15033E-06   8.952E-08   4.15030E-06   8.952E-08   2.36364E-11   6.803E-12   0.00000E+00   0.000E+00 
  1.51078E+05   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  1.52109E+05   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  1.53141E+05   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  1.54172E+05   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  1.55203E+05   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  1.56234E+05   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  1.57266E+05   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  1.58297E+05   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  1.59328E+05   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  1.60359E+05   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  1.61391E+05   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  1.62422E+05   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  1.63453E+05   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  1.64484E+05   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
