#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING ANGULAR PARTICLES DISTRIBUTION]
# Units are particles/(sr history)
# Polar angle minimum, maximum, polar bins:
#  0.00000E+00  1.80000E+02    90
# Azimuthal angle minimum, maximum, azimuthal bins:
#  0.00000E+00  3.60000E+02    45
#
# theta (deg) :  phi (deg) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   5.00000E+00  3.32000E+02  2.36234E-03  3.329E-03  2.28067E-05  8.452E-06  0.00000E+00  0.000E+00
   5.00000E+00  3.40000E+02  2.36013E-03  3.329E-03  1.25069E-05  6.067E-06  0.00000E+00  0.000E+00
   5.00000E+00  3.48000E+02  7.35701E-07  1.471E-06  1.76568E-05  7.208E-06  0.00000E+00  0.000E+00
   5.00000E+00  3.56000E+02  7.06567E-03  5.767E-03  1.32426E-05  6.243E-06  0.00000E+00  0.000E+00

   7.00000E+00  4.00000E+00  2.53232E-03  2.916E-03  1.26274E-05  5.155E-06  0.00000E+00  0.000E+00
   7.00000E+00  1.20000E+01  1.68786E-03  2.381E-03  1.52581E-05  5.667E-06  0.00000E+00  0.000E+00
   7.00000E+00  2.00000E+01  8.42353E-04  1.684E-03  1.57843E-05  5.764E-06  0.00000E+00  0.000E+00
   7.00000E+00  2.80000E+01  2.52759E-03  2.916E-03  1.31535E-05  5.261E-06  0.00000E+00  0.000E+00
   7.00000E+00  3.60000E+01  4.20966E-03  3.765E-03  1.21013E-05  5.047E-06  0.00000E+00  0.000E+00
   7.00000E+00  4.40000E+01  5.05201E-03  4.124E-03  1.84150E-05  6.225E-06  0.00000E+00  0.000E+00
   7.00000E+00  5.20000E+01  4.20966E-03  3.765E-03  1.57843E-05  5.764E-06  0.00000E+00  0.000E+00
   7.00000E+00  6.00000E+01  2.52759E-03  2.916E-03  1.26274E-05  5.155E-06  0.00000E+00  0.000E+00
   7.00000E+00  6.80000E+01  3.36994E-03  3.367E-03  1.42058E-05  5.468E-06  0.00000E+00  0.000E+00
   7.00000E+00  7.60000E+01  2.52811E-03  2.916E-03  2.20980E-05  6.820E-06  0.00000E+00  0.000E+00
   7.00000E+00  8.40000E+01  2.53390E-03  2.916E-03  2.26241E-05  6.900E-06  0.00000E+00  0.000E+00
   7.00000E+00  9.20000E+01  2.52706E-03  2.916E-03  2.15718E-05  6.738E-06  0.00000E+00  0.000E+00
   7.00000E+00  1.00000E+02  8.48141E-04  1.684E-03  2.42025E-05  7.137E-06  0.00000E+00  0.000E+00
   7.00000E+00  1.08000E+02  7.57855E-03  5.051E-03  2.31502E-05  6.980E-06  0.00000E+00  0.000E+00
   7.00000E+00  1.16000E+02  6.74040E-03  4.762E-03  1.52581E-05  5.667E-06  0.00000E+00  0.000E+00
   7.00000E+00  1.24000E+02  9.26799E-03  5.584E-03  2.52548E-05  7.290E-06  0.00000E+00  0.000E+00
   7.00000E+00  1.32000E+02  5.89910E-03  4.455E-03  3.05162E-05  8.151E-06  0.00000E+00  0.000E+00
   7.00000E+00  1.40000E+02  2.52916E-03  2.916E-03  2.36764E-05  7.059E-06  0.00000E+00  0.000E+00
   7.00000E+00  1.48000E+02  6.74514E-03  4.762E-03  2.78855E-05  7.661E-06  0.00000E+00  0.000E+00
   7.00000E+00  1.56000E+02  5.05938E-03  4.124E-03  1.99934E-05  6.487E-06  0.00000E+00  0.000E+00
   7.00000E+00  1.64000E+02  3.37362E-03  3.367E-03  3.31469E-05  8.484E-06  0.00000E+00  0.000E+00
   7.00000E+00  1.72000E+02  9.26220E-03  5.584E-03  3.20947E-05  8.218E-06  0.00000E+00  0.000E+00
   7.00000E+00  1.80000E+02  5.05885E-03  4.124E-03  3.05162E-05  8.151E-06  0.00000E+00  0.000E+00
   7.00000E+00  1.88000E+02  6.74198E-03  4.762E-03  2.47287E-05  7.214E-06  0.00000E+00  0.000E+00
   7.00000E+00  1.96000E+02  6.74619E-03  4.762E-03  2.78855E-05  7.661E-06  0.00000E+00  0.000E+00
   7.00000E+00  2.04000E+02  6.74040E-03  4.762E-03  2.73594E-05  7.588E-06  0.00000E+00  0.000E+00
   7.00000E+00  2.12000E+02  7.58328E-03  5.051E-03  2.73594E-05  7.588E-06  0.00000E+00  0.000E+00
   7.00000E+00  2.20000E+02  5.06254E-03  4.124E-03  1.94672E-05  6.401E-06  0.00000E+00  0.000E+00
   7.00000E+00  2.28000E+02  6.73935E-03  4.762E-03  2.68332E-05  7.661E-06  0.00000E+00  0.000E+00
   7.00000E+00  2.36000E+02  2.53179E-03  2.916E-03  2.89378E-05  7.804E-06  0.00000E+00  0.000E+00
   7.00000E+00  2.44000E+02  6.74198E-03  4.762E-03  2.63071E-05  7.441E-06  0.00000E+00  0.000E+00
   7.00000E+00  2.52000E+02  4.21334E-03  3.765E-03  2.31502E-05  6.980E-06  0.00000E+00  0.000E+00
   7.00000E+00  2.60000E+02  8.42195E-03  5.324E-03  2.10457E-05  6.655E-06  0.00000E+00  0.000E+00
   7.00000E+00  2.68000E+02  3.36731E-03  3.367E-03  1.89411E-05  6.314E-06  0.00000E+00  0.000E+00
   7.00000E+00  2.76000E+02  5.89595E-03  4.455E-03  1.63104E-05  5.859E-06  0.00000E+00  0.000E+00
   7.00000E+00  2.84000E+02  3.36941E-03  3.367E-03  2.52548E-05  7.290E-06  0.00000E+00  0.000E+00
   7.00000E+00  2.92000E+02  2.52759E-03  2.916E-03  1.42058E-05  5.468E-06  0.00000E+00  0.000E+00
   7.00000E+00  3.00000E+02  3.37362E-03  3.367E-03  1.63104E-05  5.859E-06  0.00000E+00  0.000E+00
   7.00000E+00  3.08000E+02  8.42353E-04  1.684E-03  1.99934E-05  6.487E-06  0.00000E+00  0.000E+00
   7.00000E+00  3.16000E+02  4.21282E-03  3.765E-03  1.99934E-05  6.487E-06  0.00000E+00  0.000E+00
   7.00000E+00  3.24000E+02  5.89279E-03  4.455E-03  1.47320E-05  5.568E-06  0.00000E+00  0.000E+00
   7.00000E+00  3.32000E+02  8.44984E-04  1.684E-03  1.21013E-05  5.047E-06  0.00000E+00  0.000E+00
   7.00000E+00  3.40000E+02  8.42353E-04  1.684E-03  9.99670E-06  4.587E-06  0.00000E+00  0.000E+00
   7.00000E+00  3.48000E+02  8.41827E-04  1.684E-03  1.26274E-05  5.366E-06  0.00000E+00  0.000E+00
   7.00000E+00  3.56000E+02  4.21019E-03  3.765E-03  1.52581E-05  5.667E-06  0.00000E+00  0.000E+00

   9.00000E+00  4.00000E+00  1.31533E-03  1.855E-03  1.35263E-05  4.986E-06  0.00000E+00  0.000E+00
   9.00000E+00  1.20000E+01  3.27951E-03  2.933E-03  1.31164E-05  4.637E-06  0.00000E+00  0.000E+00
   9.00000E+00  2.00000E+01  3.27951E-03  2.933E-03  9.42742E-06  3.931E-06  0.00000E+00  0.000E+00
   9.00000E+00  2.80000E+01  3.28525E-03  2.933E-03  1.43461E-05  4.850E-06  0.00000E+00  0.000E+00
   9.00000E+00  3.60000E+01  1.31533E-03  1.855E-03  1.72153E-05  5.313E-06  0.00000E+00  0.000E+00
   9.00000E+00  4.40000E+01  2.63148E-03  2.623E-03  1.68054E-05  5.376E-06  0.00000E+00  0.000E+00
   9.00000E+00  5.20000E+01  1.31574E-03  1.855E-03  1.39362E-05  4.780E-06  0.00000E+00  0.000E+00
   9.00000E+00  6.00000E+01  1.31369E-03  1.855E-03  1.80351E-05  5.438E-06  0.00000E+00  0.000E+00
   9.00000E+00  6.80000E+01  3.94189E-03  3.213E-03  1.96746E-05  5.680E-06  0.00000E+00  0.000E+00
   9.00000E+00  7.60000E+01  3.94312E-03  3.213E-03  2.09043E-05  5.968E-06  0.00000E+00  0.000E+00
   9.00000E+00  8.40000E+01  4.59648E-03  3.470E-03  1.96746E-05  5.680E-06  0.00000E+00  0.000E+00
   9.00000E+00  9.20000E+01  4.59771E-03  3.470E-03  2.66427E-05  6.609E-06  0.00000E+00  0.000E+00
   9.00000E+00  1.00000E+02  1.31697E-03  1.855E-03  2.74625E-05  6.710E-06  0.00000E+00  0.000E+00
   9.00000E+00  1.08000E+02  3.93738E-03  3.213E-03  2.37735E-05  6.455E-06  0.00000E+00  0.000E+00
   9.00000E+00  1.16000E+02  3.28607E-03  2.933E-03  1.88548E-05  5.560E-06  0.00000E+00  0.000E+00
   9.00000E+00  1.24000E+02  3.28443E-03  2.933E-03  2.50032E-05  6.403E-06  0.00000E+00  0.000E+00
   9.00000E+00  1.32000E+02  7.21935E-03  4.350E-03  2.91020E-05  7.004E-06  0.00000E+00  0.000E+00
   9.00000E+00  1.40000E+02  5.25271E-03  3.710E-03  2.37735E-05  6.243E-06  0.00000E+00  0.000E+00
   9.00000E+00  1.48000E+02  5.25230E-03  3.710E-03  2.99218E-05  7.004E-06  0.00000E+00  0.000E+00
   9.00000E+00  1.56000E+02  5.25107E-03  3.710E-03  3.64800E-05  7.905E-06  0.00000E+00  0.000E+00
