#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING POLAR PARTICLES DISTRIBUTION]
# Units are particles/(sr history)
#
# Polar angle minimum, maximum, polar bins:
#  0.00000E+00  1.80000E+02    90
#
# theta (deg) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   1.57000E+02  2.45638E-04  7.563E-05  6.80850E-06  3.185E-07  0.00000E+00  0.000E+00
   1.59000E+02  1.97755E-04  7.084E-05  6.05160E-06  3.119E-07  0.00000E+00  0.000E+00
   1.61000E+02  2.73589E-04  8.746E-05  5.27825E-06  3.064E-07  0.00000E+00  0.000E+00
   1.63000E+02  2.18917E-04  8.252E-05  4.77612E-06  3.091E-07  0.00000E+00  0.000E+00
   1.65000E+02  1.94247E-04  8.263E-05  4.06849E-06  3.049E-07  0.00000E+00  0.000E+00
   1.67000E+02  3.24758E-04  1.147E-04  3.35716E-06  2.954E-07  0.00000E+00  0.000E+00
   1.69000E+02  1.79635E-04  9.255E-05  2.96467E-06  3.020E-07  0.00000E+00  0.000E+00
   1.71000E+02  1.89705E-04  1.051E-04  2.68704E-06  3.150E-07  0.00000E+00  0.000E+00
   1.73000E+02  1.49787E-04  1.058E-04  2.09288E-06  3.146E-07  0.00000E+00  0.000E+00
   1.75000E+02  2.36062E-04  1.569E-04  1.63489E-06  3.270E-07  0.00000E+00  0.000E+00
   1.77000E+02  1.74437E-04  1.742E-04  1.19795E-06  3.693E-07  0.00000E+00  0.000E+00
   1.79000E+02  3.91896E-04  4.525E-04  7.34805E-07  4.899E-07  0.00000E+00  0.000E+00
