#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING ANGULAR PARTICLES DISTRIBUTION]
# Units are particles/(sr history)
# Polar angle minimum, maximum, polar bins:
#  0.00000E+00  1.80000E+02    45
# Azimuthal angle minimum, maximum, azimuthal bins:
#  0.00000E+00  3.60000E+02    18
#
# theta (deg) :  phi (deg) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   1.40000E+01  1.10000E+02  9.82645E-02  1.054E-03  5.33465E-01  2.472E-03  3.91622E-02  6.655E-04
   1.40000E+01  1.30000E+02  9.73173E-02  1.049E-03  5.32792E-01  2.470E-03  3.93262E-02  6.669E-04
   1.40000E+01  1.50000E+02  9.75181E-02  1.050E-03  5.35512E-01  2.476E-03  3.96994E-02  6.700E-04
   1.40000E+01  1.70000E+02  9.80864E-02  1.053E-03  5.30578E-01  2.465E-03  3.94845E-02  6.682E-04
   1.40000E+01  1.90000E+02  9.78659E-02  1.052E-03  5.31995E-01  2.468E-03  3.94817E-02  6.682E-04
   1.40000E+01  2.10000E+02  9.78432E-02  1.052E-03  5.34011E-01  2.473E-03  3.93205E-02  6.668E-04
   1.40000E+01  2.30000E+02  9.80299E-02  1.053E-03  5.32623E-01  2.471E-03  3.94732E-02  6.681E-04
   1.40000E+01  2.50000E+02  9.77754E-02  1.051E-03  5.32470E-01  2.469E-03  3.96514E-02  6.696E-04
   1.40000E+01  2.70000E+02  9.77273E-02  1.051E-03  5.34302E-01  2.473E-03  3.96627E-02  6.697E-04
   1.40000E+01  2.90000E+02  9.70883E-02  1.048E-03  5.31240E-01  2.466E-03  3.97758E-02  6.707E-04
   1.40000E+01  3.10000E+02  9.82363E-02  1.054E-03  5.31887E-01  2.468E-03  3.94845E-02  6.682E-04
   1.40000E+01  3.30000E+02  9.71109E-02  1.048E-03  5.34687E-01  2.475E-03  3.95071E-02  6.684E-04
   1.40000E+01  3.50000E+02  9.73682E-02  1.049E-03  5.30980E-01  2.465E-03  3.93488E-02  6.670E-04

   1.80000E+01  1.00000E+01  6.50660E-02  7.591E-04  3.80368E-01  1.846E-03  2.64642E-02  4.840E-04
   1.80000E+01  3.00000E+01  6.53382E-02  7.607E-04  3.80485E-01  1.846E-03  2.60348E-02  4.801E-04
   1.80000E+01  5.00000E+01  6.49575E-02  7.585E-04  3.79673E-01  1.843E-03  2.61543E-02  4.812E-04
   1.80000E+01  7.00000E+01  6.56349E-02  7.624E-04  3.80700E-01  1.847E-03  2.61477E-02  4.811E-04
   1.80000E+01  9.00000E+01  6.51766E-02  7.596E-04  3.79301E-01  1.843E-03  2.56850E-02  4.769E-04
   1.80000E+01  1.10000E+02  6.56681E-02  7.625E-04  3.80474E-01  1.846E-03  2.58400E-02  4.783E-04
   1.80000E+01  1.30000E+02  6.53759E-02  7.609E-04  3.78838E-01  1.843E-03  2.62384E-02  4.820E-04
   1.80000E+01  1.50000E+02  6.50394E-02  7.590E-04  3.78604E-01  1.841E-03  2.57448E-02  4.774E-04
   1.80000E+01  1.70000E+02  6.54246E-02  7.613E-04  3.78143E-01  1.840E-03  2.60636E-02  4.804E-04
   1.80000E+01  1.90000E+02  6.50571E-02  7.590E-04  3.80682E-01  1.846E-03  2.60813E-02  4.805E-04
   1.80000E+01  2.10000E+02  6.54356E-02  7.611E-04  3.80264E-01  1.845E-03  2.61831E-02  4.815E-04
   1.80000E+01  2.30000E+02  6.56371E-02  7.623E-04  3.79549E-01  1.843E-03  2.58555E-02  4.784E-04
   1.80000E+01  2.50000E+02  6.49464E-02  7.583E-04  3.78623E-01  1.842E-03  2.58156E-02  4.781E-04
   1.80000E+01  2.70000E+02  6.45657E-02  7.560E-04  3.77986E-01  1.840E-03  2.61410E-02  4.811E-04
   1.80000E+01  2.90000E+02  6.51058E-02  7.592E-04  3.79589E-01  1.844E-03  2.62539E-02  4.821E-04
   1.80000E+01  3.10000E+02  6.51766E-02  7.598E-04  3.77723E-01  1.839E-03  2.61610E-02  4.812E-04
   1.80000E+01  3.30000E+02  6.50482E-02  7.590E-04  3.77267E-01  1.838E-03  2.58732E-02  4.786E-04
   1.80000E+01  3.50000E+02  6.50327E-02  7.588E-04  3.80084E-01  1.845E-03  2.55389E-02  4.755E-04

   2.20000E+01  1.00000E+01  4.56279E-02  5.773E-04  2.89731E-01  1.462E-03  1.78571E-02  3.611E-04
   2.20000E+01  3.00000E+01  4.57832E-02  5.783E-04  2.88024E-01  1.457E-03  1.78790E-02  3.613E-04
   2.20000E+01  5.00000E+01  4.54307E-02  5.762E-04  2.88168E-01  1.458E-03  1.74572E-02  3.571E-04
