#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING ANGULAR PARTICLES DISTRIBUTION]
# Units are particles/(sr history)
# Polar angle minimum, maximum, polar bins:
#  0.00000E+00  1.80000E+02    45
# Azimuthal angle minimum, maximum, azimuthal bins:
#  0.00000E+00  3.60000E+02    18
#
# theta (deg) :  phi (deg) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   2.60000E+01  7.00000E+01  1.43366E-07  4.096E-08  8.70703E-05  2.507E-06  0.00000E+00  0.000E+00
   2.60000E+01  9.00000E+01  2.69178E-07  1.244E-07  8.30033E-05  2.409E-06  0.00000E+00  0.000E+00
   2.60000E+01  1.10000E+02  1.49218E-07  6.948E-08  8.49432E-05  2.461E-06  0.00000E+00  0.000E+00
   2.60000E+01  1.30000E+02  1.63847E-07  7.071E-08  8.31204E-05  2.422E-06  0.00000E+00  0.000E+00
   2.60000E+01  1.50000E+02  1.75551E-07  9.065E-08  8.30765E-05  2.414E-06  0.00000E+00  0.000E+00
   2.60000E+01  1.70000E+02  2.80881E-07  1.367E-07  8.63388E-05  2.484E-06  0.00000E+00  0.000E+00
   2.60000E+01  1.90000E+02  2.51623E-07  1.104E-07  8.32169E-05  2.411E-06  0.00000E+00  0.000E+00
   2.60000E+01  2.10000E+02  3.56953E-07  1.605E-07  8.48291E-05  2.448E-06  0.00000E+00  0.000E+00
   2.60000E+01  2.30000E+02  2.95510E-07  1.374E-07  8.29273E-05  2.418E-06  0.00000E+00  0.000E+00
   2.60000E+01  2.50000E+02  2.01883E-07  9.234E-08  8.36792E-05  2.432E-06  0.00000E+00  0.000E+00
   2.60000E+01  2.70000E+02  2.34068E-07  1.227E-07  8.37436E-05  2.433E-06  0.00000E+00  0.000E+00
   2.60000E+01  2.90000E+02  1.98958E-07  7.355E-08  8.30970E-05  2.421E-06  0.00000E+00  0.000E+00
   2.60000E+01  3.10000E+02  2.54549E-07  1.106E-07  8.36763E-05  2.431E-06  0.00000E+00  0.000E+00
   2.60000E+01  3.30000E+02  2.45771E-07  1.233E-07  8.76379E-05  2.519E-06  0.00000E+00  0.000E+00
   2.60000E+01  3.50000E+02  2.83807E-07  1.369E-07  8.34773E-05  2.425E-06  0.00000E+00  0.000E+00

   3.00000E+01  1.00000E+01  1.97521E-07  9.557E-08  7.93703E-05  2.209E-06  0.00000E+00  0.000E+00
   3.00000E+01  3.00000E+01  2.74478E-07  1.211E-07  7.86315E-05  2.206E-06  0.00000E+00  0.000E+00
   3.00000E+01  5.00000E+01  1.84695E-07  8.144E-08  7.81338E-05  2.188E-06  0.00000E+00  0.000E+00
   3.00000E+01  7.00000E+01  1.41087E-07  3.805E-08  8.00526E-05  2.220E-06  0.00000E+00  0.000E+00
   3.00000E+01  9.00000E+01  2.61652E-07  1.103E-07  7.92805E-05  2.214E-06  0.00000E+00  0.000E+00
   3.00000E+01  1.10000E+02  2.15478E-07  1.081E-07  7.84032E-05  2.185E-06  0.00000E+00  0.000E+00
   3.00000E+01  1.30000E+02  1.89826E-07  6.570E-08  8.00526E-05  2.222E-06  0.00000E+00  0.000E+00
   3.00000E+01  1.50000E+02  3.41173E-07  1.417E-07  8.12018E-05  2.256E-06  0.00000E+00  0.000E+00
   3.00000E+01  1.70000E+02  1.71869E-07  8.063E-08  8.03450E-05  2.236E-06  0.00000E+00  0.000E+00
   3.00000E+01  1.90000E+02  2.77043E-07  1.212E-07  7.82493E-05  2.190E-06  0.00000E+00  0.000E+00
   3.00000E+01  2.10000E+02  2.48826E-07  1.200E-07  7.75823E-05  2.167E-06  0.00000E+00  0.000E+00
   3.00000E+01  2.30000E+02  3.00130E-07  1.315E-07  7.86033E-05  2.181E-06  0.00000E+00  0.000E+00
   3.00000E+01  2.50000E+02  1.33391E-07  3.700E-08  7.88803E-05  2.199E-06  0.00000E+00  0.000E+00
   3.00000E+01  2.70000E+02  1.82130E-07  8.128E-08  8.08735E-05  2.248E-06  0.00000E+00  0.000E+00
   3.00000E+01  2.90000E+02  2.53956E-07  1.099E-07  7.82724E-05  2.183E-06  0.00000E+00  0.000E+00
   3.00000E+01  3.10000E+02  2.07782E-07  9.612E-08  7.85520E-05  2.184E-06  0.00000E+00  0.000E+00
   3.00000E+01  3.30000E+02  1.51348E-07  6.262E-08  7.87726E-05  2.188E-06  0.00000E+00  0.000E+00
   3.00000E+01  3.50000E+02  2.59087E-07  1.102E-07  7.88341E-05  2.195E-06  0.00000E+00  0.000E+00

   3.40000E+01  1.00000E+01  3.62401E-07  1.427E-07  7.28746E-05  1.988E-06  0.00000E+00  0.000E+00
   3.40000E+01  3.00000E+01  2.22486E-07  9.807E-08  7.32302E-05  1.990E-06  0.00000E+00  0.000E+00
   3.40000E+01  5.00000E+01  2.47717E-07  1.084E-07  7.17370E-05  1.962E-06  0.00000E+00  0.000E+00
   3.40000E+01  7.00000E+01  2.15605E-07  1.070E-07  7.14411E-05  1.950E-06  0.00000E+00  0.000E+00
   3.40000E+01  9.00000E+01  2.29367E-07  1.076E-07  7.01153E-05  1.926E-06  0.00000E+00  0.000E+00
   3.40000E+01  1.10000E+02  2.27074E-07  1.075E-07  7.32577E-05  1.992E-06  0.00000E+00  0.000E+00
   3.40000E+01  1.30000E+02  1.97256E-07  8.655E-08  7.10236E-05  1.947E-06  0.00000E+00  0.000E+00
   3.40000E+01  1.50000E+02  2.61479E-07  1.089E-07  7.22485E-05  1.975E-06  0.00000E+00  0.000E+00
   3.40000E+01  1.70000E+02  1.88081E-07  8.607E-08  7.34595E-05  2.000E-06  0.00000E+00  0.000E+00
   3.40000E+01  1.90000E+02  1.58264E-07  7.239E-08  7.24824E-05  1.961E-06  0.00000E+00  0.000E+00
   3.40000E+01  2.10000E+02  2.15605E-07  9.774E-08  7.15695E-05  1.951E-06  0.00000E+00  0.000E+00
   3.40000E+01  2.30000E+02  1.42208E-07  7.136E-08  7.25765E-05  1.975E-06  0.00000E+00  0.000E+00
   3.40000E+01  2.50000E+02  1.42208E-07  5.656E-08  7.41362E-05  2.016E-06  0.00000E+00  0.000E+00
   3.40000E+01  2.70000E+02  2.36249E-07  1.079E-07  7.27233E-05  1.989E-06  0.00000E+00  0.000E+00
   3.40000E+01  2.90000E+02  2.47717E-07  1.168E-07  7.22118E-05  1.971E-06  0.00000E+00  0.000E+00
   3.40000E+01  3.10000E+02  1.16977E-07  5.447E-08  6.99525E-05  1.928E-06  0.00000E+00  0.000E+00
   3.40000E+01  3.30000E+02  1.33033E-07  7.077E-08  7.26797E-05  1.984E-06  0.00000E+00  0.000E+00
   3.40000E+01  3.50000E+02  1.85788E-07  7.411E-08  7.36453E-05  2.005E-06  0.00000E+00  0.000E+00

   3.80000E+01  1.00000E+01  1.35414E-07  5.187E-08  6.46427E-05  1.751E-06  0.00000E+00  0.000E+00
   3.80000E+01  3.00000E+01  1.81247E-07  7.873E-08  6.44843E-05  1.748E-06  0.00000E+00  0.000E+00
   3.80000E+01  5.00000E+01  2.02080E-07  8.907E-08  6.34281E-05  1.721E-06  0.00000E+00  0.000E+00
   3.80000E+01  7.00000E+01  1.54164E-07  6.640E-08  6.59447E-05  1.783E-06  0.00000E+00  0.000E+00
   3.80000E+01  9.00000E+01  2.24996E-07  9.842E-08  6.67093E-05  1.795E-06  0.00000E+00  0.000E+00
   3.80000E+01  1.10000E+02  1.54164E-07  6.640E-08  6.75135E-05  1.808E-06  0.00000E+00  0.000E+00
   3.80000E+01  1.30000E+02  2.29163E-07  9.033E-08  6.37344E-05  1.730E-06  0.00000E+00  0.000E+00
   3.80000E+01  1.50000E+02  2.66662E-07  1.213E-07  6.58427E-05  1.783E-06  0.00000E+00  0.000E+00
   3.80000E+01  1.70000E+02  1.47914E-07  6.601E-08  6.45010E-05  1.757E-06  0.00000E+00  0.000E+00
   3.80000E+01  1.90000E+02  1.66664E-07  7.795E-08  6.61489E-05  1.787E-06  0.00000E+00  0.000E+00
   3.80000E+01  2.10000E+02  1.83330E-07  7.884E-08  6.59718E-05  1.775E-06  0.00000E+00  0.000E+00
   3.80000E+01  2.30000E+02  1.43748E-07  5.254E-08  6.68739E-05  1.803E-06  0.00000E+00  0.000E+00
   3.80000E+01  2.50000E+02  1.77080E-07  7.850E-08  6.53093E-05  1.764E-06  0.00000E+00  0.000E+00
   3.80000E+01  2.70000E+02  1.95830E-07  6.897E-08  6.44177E-05  1.744E-06  0.00000E+00  0.000E+00
   3.80000E+01  2.90000E+02  2.33329E-07  1.064E-07  6.54802E-05  1.758E-06  0.00000E+00  0.000E+00
   3.80000E+01  3.10000E+02  1.68747E-07  6.731E-08  6.56906E-05  1.779E-06  0.00000E+00  0.000E+00
   3.80000E+01  3.30000E+02  2.16663E-07  8.975E-08  6.75530E-05  1.823E-06  0.00000E+00  0.000E+00
   3.80000E+01  3.50000E+02  2.87495E-07  1.155E-07  6.52322E-05  1.767E-06  0.00000E+00  0.000E+00

   4.20000E+01  1.00000E+01  1.38011E-07  6.086E-08  5.89577E-05  1.602E-06  0.00000E+00  0.000E+00
   4.20000E+01  3.00000E+01  1.80182E-07  8.168E-08  5.84670E-05  1.593E-06  0.00000E+00  0.000E+00
