#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT ANGULAR DETECTOR ENERGY SPECTRUM]
# Angular intervals : theta1 =  9.000000E+01,    theta2 =  1.800000E+02
#                        phi1 =  0.000000E+00,    phi2 =  3.600000E+02
# Energy window (eV), energy bins:
#  0.00000E+00  4.05000E+04   200
# Energy spectra of emerging particles (1/(eV*sr*particle)).
#
#             |            electron     |               gamma     |            positron     |
#             |                         |                         |                         |
# Energy (eV) |     prob    : +-2sigma  |     prob    : +-2sigma  |     prob    : +-2sigma  |
  3.04762E+04   2.37521E-06   8.628E-09   1.12391E-09   1.880E-10   0.00000E+00   0.000E+00 
  3.06788E+04   2.38584E-06   8.647E-09   1.35969E-09   2.068E-10   0.00000E+00   0.000E+00 
  3.08812E+04   2.41953E-06   8.708E-09   1.16321E-09   1.912E-10   0.00000E+00   0.000E+00 
  3.10838E+04   2.43855E-06   8.742E-09   1.07675E-09   1.840E-10   0.00000E+00   0.000E+00 
  3.12862E+04   2.45848E-06   8.778E-09   1.12391E-09   1.880E-10   0.00000E+00   0.000E+00 
  3.14888E+04   2.47530E-06   8.808E-09   1.13963E-09   1.893E-10   0.00000E+00   0.000E+00 
  3.16912E+04   2.49223E-06   8.838E-09   1.09247E-09   1.853E-10   0.00000E+00   0.000E+00 
  3.18938E+04   2.50821E-06   8.866E-09   1.09247E-09   1.853E-10   0.00000E+00   0.000E+00 
  3.20962E+04   2.53324E-06   8.910E-09   1.09247E-09   1.853E-10   0.00000E+00   0.000E+00 
  3.22988E+04   2.55233E-06   8.943E-09   9.43140E-10   1.722E-10   0.00000E+00   0.000E+00 
  3.25012E+04   2.55487E-06   8.948E-09   9.35281E-10   1.715E-10   0.00000E+00   0.000E+00 
  3.27038E+04   2.56913E-06   8.972E-09   9.19562E-10   1.700E-10   0.00000E+00   0.000E+00 
  3.29062E+04   2.59504E-06   9.017E-09   9.11702E-10   1.693E-10   0.00000E+00   0.000E+00 
  3.31088E+04   2.59751E-06   9.022E-09   9.35281E-10   1.715E-10   0.00000E+00   0.000E+00 
  3.33112E+04   2.60377E-06   9.033E-09   9.51000E-10   1.729E-10   0.00000E+00   0.000E+00 
  3.35138E+04   2.60477E-06   9.034E-09   8.40967E-10   1.626E-10   0.00000E+00   0.000E+00 
  3.37162E+04   2.61318E-06   9.049E-09   8.25248E-10   1.611E-10   0.00000E+00   0.000E+00 
  3.39188E+04   2.61600E-06   9.054E-09   7.62372E-10   1.548E-10   0.00000E+00   0.000E+00 
  3.41212E+04   2.61303E-06   9.049E-09   7.54512E-10   1.540E-10   0.00000E+00   0.000E+00 
  3.43238E+04   2.61772E-06   9.057E-09   8.48826E-10   1.634E-10   0.00000E+00   0.000E+00 
  3.45262E+04   2.61200E-06   9.047E-09   6.20901E-10   1.397E-10   0.00000E+00   0.000E+00 
  3.47288E+04   2.60235E-06   9.030E-09   6.20901E-10   1.397E-10   0.00000E+00   0.000E+00 
  3.49312E+04   2.59892E-06   9.024E-09   4.95149E-10   1.248E-10   0.00000E+00   0.000E+00 
  3.51338E+04   2.58746E-06   9.004E-09   6.05182E-10   1.379E-10   0.00000E+00   0.000E+00 
  3.53362E+04   2.55941E-06   8.955E-09   5.42306E-10   1.306E-10   0.00000E+00   0.000E+00 
  3.55388E+04   2.55092E-06   8.941E-09   5.42306E-10   1.306E-10   0.00000E+00   0.000E+00 
  3.57412E+04   2.53247E-06   8.908E-09   4.79430E-10   1.228E-10   0.00000E+00   0.000E+00 
  3.59438E+04   2.51583E-06   8.879E-09   4.87289E-10   1.238E-10   0.00000E+00   0.000E+00 
  3.61462E+04   2.47962E-06   8.815E-09   4.40132E-10   1.176E-10   0.00000E+00   0.000E+00 
  3.63488E+04   2.45265E-06   8.767E-09   4.24413E-10   1.155E-10   0.00000E+00   0.000E+00 
  3.65512E+04   2.41052E-06   8.692E-09   3.77256E-10   1.089E-10   0.00000E+00   0.000E+00 
  3.67538E+04   2.37322E-06   8.625E-09   4.08694E-10   1.134E-10   0.00000E+00   0.000E+00 
  3.69562E+04   2.33811E-06   8.561E-09   4.16554E-10   1.144E-10   0.00000E+00   0.000E+00 
  3.71588E+04   2.27757E-06   8.450E-09   2.90802E-10   9.561E-11   0.00000E+00   0.000E+00 
  3.73612E+04   2.21827E-06   8.339E-09   1.96488E-10   7.860E-11   0.00000E+00   0.000E+00 
  3.75638E+04   2.16823E-06   8.245E-09   3.37959E-10   1.031E-10   0.00000E+00   0.000E+00 
  3.77662E+04   2.10720E-06   8.128E-09   2.35785E-10   8.610E-11   0.00000E+00   0.000E+00 
  3.79688E+04   2.04410E-06   8.006E-09   2.20066E-10   8.318E-11   0.00000E+00   0.000E+00 
  3.81712E+04   1.97016E-06   7.860E-09   1.65050E-10   7.203E-11   0.00000E+00   0.000E+00 
  3.83738E+04   1.89461E-06   7.708E-09   1.25752E-10   6.288E-11   0.00000E+00   0.000E+00 
  3.85762E+04   1.82561E-06   7.567E-09   1.72909E-10   7.373E-11   0.00000E+00   0.000E+00 
  3.87788E+04   1.74531E-06   7.399E-09   1.57190E-10   7.030E-11   0.00000E+00   0.000E+00 
  3.89812E+04   1.66748E-06   7.233E-09   1.10033E-10   5.882E-11   0.00000E+00   0.000E+00 
  3.91838E+04   1.59098E-06   7.065E-09   9.43140E-11   5.445E-11   0.00000E+00   0.000E+00 
  3.93862E+04   1.52671E-06   6.921E-09   1.25752E-10   6.288E-11   0.00000E+00   0.000E+00 
  3.95888E+04   1.47350E-06   6.800E-09   5.50165E-11   4.159E-11   0.00000E+00   0.000E+00 
  3.97912E+04   1.39750E-06   6.622E-09   2.35785E-11   2.723E-11   0.00000E+00   0.000E+00 
  3.99938E+04   1.46592E-06   6.782E-09   1.57190E-11   2.223E-11   0.00000E+00   0.000E+00 
  4.01962E+04   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  4.03988E+04   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
